Filter,Reduction,Model,Accuracy_List,Accuracy_Mean,F1_Score,B_Accuracy
RFE,LDA,NeuralNetwork_100,0.8942965779467682,0.8942965779467682,0.8891393560572929,0.8976531824733645
RFE,LDA,NeuralNetwork_100_50,0.8173818576860402,0.8173818576860402,0.7901064239814041,0.8200325447469472
RFE,LDA,NeuralNetwork_50,0.8961434003259099,0.8961434003259099,0.8911825283581333,0.8983903318901575
RFE,LDA,SVM_0.1,0.9491580662683324,0.9491580662683324,0.9493000972301886,0.9504219716295854
RFE,LDA,SVM_0.5,0.9589353612167301,0.9589353612167301,0.958935360173426,0.9592232793811932
RFE,LDA,SVM_1.0,0.9592612710483432,0.9592612710483432,0.9592647258703233,0.9595403068322593
RFE,PCA,KNN_1,0.8650733297121131,0.8650733297121131,0.8647970192034615,0.8647192492168883
RFE,PCA,KNN_10,0.896034763715372,0.896034763715372,0.8967242815707557,0.8964873564377873
RFE,PCA,KNN_20,0.898642042368278,0.898642042368278,0.8994672296425668,0.8990076562842544
RFE,PCA,NeuralNetwork_100,0.9279739272134708,0.9279739272134708,0.9291315144839659,0.9288044471675632
RFE,PCA,NeuralNetwork_100_50,0.915697990222705,0.915697990222705,0.9159876202495767,0.9164543048128871
RFE,PCA,NeuralNetwork_50,0.9241716458446495,0.9241716458446495,0.9248755511448337,0.924569443952245
RFE,PCA,SVM_0.1,0.9113525258011951,0.9113525258011951,0.9109830771239938,0.9118281776882341
RFE,PCA,SVM_0.5,0.9277566539923956,0.9277566539923956,0.9268198115881381,0.9274437698022112
RFE,PCA,SVM_1.0,0.929712112982075,0.929712112982075,0.9287895524649586,0.9293459552628803
RFE,Sin reducción,KNN_1,0.8739815317762085,0.8739815317762085,0.8736860896716921,0.8730877532524515
RFE,Sin reducción,KNN_10,0.9009234111895708,0.9009234111895708,0.9014320508026689,0.900701190468555
RFE,Sin reducción,KNN_20,0.9048343291689299,0.9048343291689299,0.9056056305085575,0.9046794646356983
